id,question,ground_truth,top_k,predicted_answer,context_ids,relevant_passages_ids,num_relevant_passages,max_num_relevant_passages,retrieved_ratio
10,"Acrokeratosis paraneoplastica

17. Cho","Acrokeratosis paraneoplastic (Bazex syndrome) is a rare, but distinctive paraneoplastic dermatosis characterized by erythematosquamous lesions located at the acral sites and is most commonly associated with carcinomas of the upper aerodigestive tract.",20,No answer generated,"[7640201, 18775590, 17097409, 6225397, 16435144, 3819049, 17374318, 22470801, 18672707, 1521479, 8949310, 7796616, 21670341, 27531391, 31119772, 1656290, 21895989, 6502196, 23626552, 21131752]","[17097409, 18672707, 1433123, 18775590, 1521479, 7796616, 3819049, 16435144, 7640201, 17374318, 22146896, 22470801, 6225397, 8949310, 22252191]",12,15,0.8
11,"The Vaughan-Williams classification is a system for classifying anti-arrhythmic drugs based on their mechanism of action. It divides the drugs into three classes: Class I, II, and III. Class I drugs are generally used to treat heart arrhythmias, while Class II drugs are used for bradycardia and Class III drugs are used for tachycardia. The drugs in Class I are generally used for short-term treatment of heart arrhythmias, while those in Class II are used for longer-term treatment. Class III drugs are used for longer-term treatment of heart arrhythmias.","Antiarrhythmic drugs can be divided into four Vaughan Williams classes (I-IV). Class I antiarrhythmic agents have as a common action, blockade of the sodium channels. Class II agents are antisympathetic drugs, particularly the beta-adrenoceptor blockers. Class-III antiarrhythmics have as a common action the potassium-channel blockade. Class IV antiarrhythmic drugs are calcium channel blockers.",20,No answer generated,"[11564050, 10810787, 7875632, 11825323, 12491809, 19063792, 25187091, 21292648, 7889444, 10505494, 19829181, 23286974, 21394037, 30102239, 21893508, 24510469, 9781936, 26928029, 23144205, 20005474]","[10810787, 9803978, 1290288, 7875632, 11564050]",3,5,0.6
12,"The Notch receptor is a family of transmembrane receptors that play a critical role in regulating development, tissue differentiation, and cell fate decisions. The different isoforms of Notch receptors are:
1. Notch1
2. Notch2
3. Notch3
4. Notch4
5. Notch5
6. Notch6
7. Notch7
8. Notch8
9. Notch9
10. Notch10
11. Notch11
12. Notch12
13. Notch13
14. Notch14
15. Notch15
16. Notch16
17. Notch17
18. Notch18
19. Notch19
20. Notch20
21. Notch21
22. Notch22
23. Notch23
24. Notch24
25. Notch25
26. Notch26
27. Notch27
28. Notch28
29. Notch29
30. Notch30
31. Notch31
32. Notch32
33. Notch33
34. Notch34
35. Notch35
36. Notch36
37. Notch37
38. Notch38
39. Notch39
40. Notch40
41. Notch41
42. Notch42
43. Notch43
44. Notch44
45. Notch45
46. Notch46
47. Notch47
48. Notch48
49. Notch49
50. Notch50
51. Notch51
52. Notch52
53. Notch53
54. Notch54
55. Notch55","Notch signaling is an evolutionarily conserved mechanism, used to regulate cell fate decisions. Four Notch receptors have been identified in man: Notch-1, Notch-2, Notch-3 and Notch-4.",20,No answer generated,"[11732008, 22842086, 21702048, 21302811, 17854869, 27466320, 9207788, 21639801, 24252593, 31922915, 21562564, 22974708, 20118921, 23028706, 23359070, 15081359, 16307184, 23649698, 23776410, 24249312]","[23028706, 22842086, 11732008, 16307184, 21356309, 11532344, 21639801]",5,7,0.7142857142857143
13,"Cellular senescence is a biological process that involves the permanent loss of cells due to ageing or disease. It is characterized by the accumulation of mutations, dysfunctional proteins, and chromatin remodeling. Some of the major characteristics of cellular senescence include:
1. Dysregulation of cell cycle progression: Senescent cells undergo a senescence-associated protein (SAP)–mediated cell cycle arrest, leading to premature cell death.
2. Reduced proliferation and increased apoptosis: Senescent cells exhibit reduced proliferation and increased apoptosis, leading to reduced cell number.
3. Increased oxidative stress: Senescent cells accumulate oxidative stress, leading to cellular damage and apoptosis.
4. Dysregulation of cellular differentiation: Senescent cells fail to differentiate into different cell types, leading to a loss of function.
5. Chromatin remodeling: Senescent cells undergo chromatin remodeling, leading to the accumulation of non-coding RNA and DNA methylation.
6. Increased inflammation: Senescent cells produce pro-inflammatory cytokines, leading to chronic inflammation and oxidative stress.
7. Decreased energy metabolism: Senescent cells have reduced ATP production, leading to decreased energy metabolism and increased oxidative stress.","The defining characteristics of cellular senescence are altered morphology, arrested cell-cycle progression, development of aberrant gene expression with proinflammatory behavior, and telomere shortening.",20,No answer generated,"[33855023, 15743671, 17634581, 17579878, 9624027, 24006061, 27731420, 27692431, 28741506, 23422284, 19150958, 19053174, 9648109, 17102614, 8824885, 23541441, 22101268, 16537449, 28217839, 22970173]","[18976161, 9624027, 8824885]",2,3,0.6666666666666666
14,"Orteronel is developed for treatment of advanced or metastatic renal cell carcinoma (RCC), which is a type of kidney cancer.",Orteronel was developed for treatment of castration-resistant prostate cancer.,20,No answer generated,"[24799061, 24418642, 24965748, 23371447, 27267515, 24314737, 24183081, 27690664, 23146910, 26150028, 22826702, 27047959, 26482279, 31331862, 25297456, 22291466, 24190702, 34482771, 24328549, 29695920]","[21978946, 26150028, 25624429, 24100689, 24418642, 25701170, 25264242, 24799061, 25537627]",3,9,0.3333333333333333
15,"Trastuzumab is a monoclonal antibody that targets HER2, a protein that is overexpressed in some types of breast and gastric cancers. It is approved for use in the treatment of HER2-positive breast cancer and HER2-positive metastatic breast cancer. However, the exact mechanism of action of trastuzumab is not fully understood, and further research is needed to determine its potential for use in the treatment of prostate cancer.","Although is still controversial, Trastuzumab (Herceptin) can be of potential use in the treatment of prostate cancer overexpressing HER2, either alone or in combination with other drugs.",20,No answer generated,"[16800251, 21632460, 27993109, 17867585, 19934333, 22322558, 18514938, 29037983, 20716957, 23988598, 15139054, 15264245, 22711713, 16163160, 32144719, 31087550, 11685733, 22580986, 32917537, 20219072]","[22505344, 11502465, 15571968, 12677892, 12173324, 18071949, 10473102, 11331475, 21364123, 20716957, 15046685, 21844010, 17142577, 11786427, 11236029, 21254978, 17211467, 23294030, 11920466, 17210707, 10519379, 21326934, 16163160, 11685722, 19373278, 18038879, 15919200, 11685733, 15036648, 15139054, 23255921, 15264245, 22137850, 22322558, 22977535]",6,35,0.17142857142857143
16,The Yamanaka factors are a class of genes that can be activated to induce the self-renewal of stem cells. They are named after the Japanese scientists who first discovered them in 2006.,"The Yamanaka factors are the OCT4, SOX2, MYC, and KLF4 transcription factors",20,No answer generated,"[19030024, 21761058, 24150221, 21640101, 24706886, 20144262, 8181531, 22075965, 7930846, 23149977, 23939864, 12714971, 20591647, 23527808, 16908534, 18283123, 24035588, 18371346, 21241459, 23272148]","[23527808, 21761058, 22075965, 21640101, 20144262, 22449255, 19030024, 21839145, 24150221, 22357549, 23658991, 23612755, 21249204, 23939864, 23166588, 23704989]",8,16,0.5
17,"The Human Chromosome-centric Proteome Project (C-HPP) is an international effort to provide a comprehensive view of the protein-coding regions of the human genome, including the genomic context and evolutionary history of each region. The project aims to provide a standardized, high-quality, and comprehensive database of human proteome data, which will facilitate research in fields such as genomics, evolutionary biology, and disease diagnosis.","The chromosome-centric human proteome project aims to systematically map all human proteins, chromosome by chromosome, in a gene-centric manner through dedicated efforts from national and international teams",20,No answer generated,"[22443261, 22966780, 23252913, 23205526, 23234512, 23153008, 23253012, 23259496, 23249167, 23276153, 26952518, 34767442, 30546257, 18820470, 23227862, 14685227, 23603847, 23334424, 16925843, 22021278]","[23312004, 23214983, 23259496, 23308364, 23249167, 23234512, 23252913, 23153008, 21742803, 23253012, 23227862, 23205526, 23276153, 22966780, 22443261]",11,15,0.7333333333333333
18,The protein Pannexin1 is located on the surface of neurons and astrocytes in the central nervous system.,The protein Pannexin1 is localized to the plasma membranes.,20,No answer generated,"[25698922, 28735901, 26386583, 25505382, 24300303, 24194896, 24174661, 29932112, 19409451, 10381257, 24782784, 17064878, 9045676, 23523511, 24694658, 25056878, 3219911, 32962914, 15898103, 25189622]","[24782784, 26100513, 24694658, 25007779, 24642372, 25698922, 19409451, 17064878, 25056878, 24194896]",7,10,0.7
19,"POLG mutations have been linked to several mitochondrial diseases, including mitochondrial DNA (mtDNA) deletions, duplications, and mutations. These mutations can lead to a variety of clinical presentations, including congenital heart disease, developmental delays, mental retardation, neurological deficits, and respiratory and gastrointestinal abnormalities.","Mutations in the POLG gene have emerged as one of the most common causes of inherited mitochondrial disease in children and adults. They are responsible for a heterogeneous group of at least 6 major phenotypes of neurodegenerative disease that include: 1) childhood Myocerebrohepatopathy Spectrum disorders (MCHS), 2) Alpers syndrome, 3) Ataxia Neuropathy Spectrum (ANS) disorders, 4) Myoclonus Epilepsy Myopathy Sensory Ataxia (MEMSA), 5) autosomal recessive Progressive External Ophthalmoplegia (arPEO), and 6) autosomal dominant Progressive External Ophthalmoplegia (adPEO).",20,No answer generated,"[18546365, 20927567, 15351195, 7999980, 18638794, 24126373, 16181814, 24780559, 15122711, 1528004, 24934289, 24424123, 24284555, 29121011, 9309689, 23665194, 25230702, 19591276, 9128755, 21451360]","[20927567, 12825077, 22647225, 15351195, 18546365]",3,5,0.6
20,"Ivabradine is a selective inhibitor of atrial fibrillation (AF) and has a similar effect on atrial fibrillation in patients with heart failure with reduced ejection fraction (HFpEF) after myocardial infarction (MI) compared to inadequately treated patients with HFpEF.
Ivabradine is approved by the US Food and Drug Administration (FDA) for the treatment of AF and as a prophylaxis against AF in patients with HFpEF after MI. It is also approved in several other countries, including the European Union (EU).
Source: Press release, 2018.
1. What is the effect of ivabradine in heart failure after myocardial infarction?
2. What is the effect of ivabradine in patients with heart failure with reduced ejection fraction (HFpEF) after myocardial infarction?","Ιvabradine decreases heart rate and reduces myocardial oxygen demand, increases diastolic perfusion time and improves energetics in ischemic myocardium. Ivabradine protects the myocardium during ischemia, improves left ventricular function in heart failure and reduces remodeling following myocardial infarction. It improves prognosis in patients with coronary artery disease, left ventricular dysfunction and heart rate ≥70 beats per minute, as well as in patients with heart failure and left ventricular dysfunction. The beneficial effects of ivabradine may be due to the reversal of electrophysiological cardiac remodelling in post-MI rats by reduction of functional overexpression of HCN channels. Furthermore, the improvement of cardiac function is related not only to the HR reduction per se but also to modifications in the extracellular matrix.",20,No answer generated,"[20005474, 19664404, 23536611, 22416440, 23916925, 21838751, 18621770, 19074674, 14981003, 19411283, 20000882, 23096376, 23500298, 25854636, 23274284, 23394554, 22833515, 22298161, 12890053, 22564122]","[18757088, 23536611, 19514618, 14981003, 18621770, 23394554, 19129742, 19074674, 19411283, 20000882, 19664404, 18310678, 20028694, 23096376, 21878041, 22416440, 23067195, 21838751]",11,18,0.6111111111111112
21,"The mode of inheritance of Wilson's disease is X-linked recessive, which means that the disease is passed on from the father to the son through the X chromosome.",Wilson's disease (WD) is an autosomal recessive disorder.,20,No answer generated,"[838566, 6109943, 6620327, 22610954, 16303832, 20662462, 12004300, 16932613, 8186659, 1248830, 21415082, 8445613, 21062272, 11200035, 2932368, 18358876, 9611068, 9450905, 443639, 30478036]","[8186659, 16932613, 838566, 6620327, 12152840, 1248830, 22610954, 2724779, 8615372, 1940586, 6109943, 759736, 14580665, 20662462]",8,14,0.5714285714285714
22,"Transcription and splicing are two separate processes that occur in the cell nucleus. Transcription involves the addition of nucleotides to the growing ribosome, which is a small molecule that carries the genetic information for the cell. Splicing, on the other hand, involves the removal of non-coding regions of the DNA to produce mature RNA.
Transcription and splicing are often confused as they are similar in appearance, but they are actually distinct processes. Transcription occurs in the cytoplasm, while splicing occurs in the nucleus. Transcription involves the addition of nucleotides to the growing ribosome, while splicing involves the removal of non-coding regions of the DNA.
Transcription is essential for the synthesis of messenger RNA (mRNA), which is the precursor to protein synthesis. Once the mRNA is translated into protein, it is used as a template for the synthesis of other mRNA molecules. Splicing is essential for the production of specific protein products from the mRNA.
The process of splicing occurs in the nucleus, where the ribosome is located. Splicing is a process of removing the non-coding regions of the DNA to produce the mature mRNA product. The removal of non-coding regions occurs through the formation of a snip, where the mRNA molecule is cleaved at the 5' end by a ribonucleoprotein complex.
The splicing enzyme, S100, is involved in the removal of non-coding regions from the mRNA. This enzyme is located in the nucleus and is activated by the binding of the ribosome to the 5' end of the mRNA. Once the ribosome is bound to the 5' end, S100 is activated and begins to cleave the mRNA.
The resulting mature mRNA product is then transported to the cytoplasm for protein synthesis. The removal of non-coding regions of the DNA during splicing is necessary for the production of specific proteins, as the ribosome must have a clear and defined","Yes. There is strong evidence that splicing and transcription are intimately coupled in metazoans, with  genome wide surveys show that most splicing occurs during transcription. Chromatin structure, RNA polymerase dynamics, and recruitment of splicing factors through the transcriptional machinery are factors that explain a role for transcription in the regulation of splicing.",20,No answer generated,"[22955974, 15383674, 23638305, 20407423, 22022255, 21264352, 22975042, 11602343, 6328745, 21289049, 21173847, 23074139, 16172632, 25967372, 19684599, 22479188, 21177958, 20631007, 16921380, 27965595]","[15905409, 22975042, 15870275, 16921380, 21095588, 23209445, 17189193, 21964334, 23097425, 22156210, 20808788, 22479188, 16172632, 15383674, 23074139, 16769980]",6,16,0.375
23,The mode of inheritance for Facioscapulohumeral muscular dystrophy (FSHD) is autosomal dominant. This means that it is inherited from the parent with the disease.,Facioscapulohumeral muscular dystrophy has an autosomal dominant inheritance pattern.,20,No answer generated,"[22551571, 21795275, 21288772, 23143600, 10487912, 7739631, 10969520, 22892954, 24075187, 24940479, 24030947, 16303832, 23593020, 4022362, 23777630, 3729752, 8154209, 21951698, 14506132, 23272181]","[10864616, 10487912, 21795275, 15307599, 10969520, 23143600, 7739631, 22551571, 19248726, 23573591, 22525183]",6,11,0.5454545454545454
24,"No, Alu hypomethylation is not associated with breast cancer.","Yes, Alu elements were found to be hypomethylated in breast cancer, especially in the HER2-enriched subtype. Furthermore, Alu hypomethylation was identified as a late event during breast cancer progression, and in invasive breast cancer, tended to be associated with negative estrogen receptor status and poor disease-free survival of the patients.",20,No answer generated,"[24971511, 18485221, 31383000, 17700064, 22695536, 19151715, 22078060, 23887935, 18639561, 17071074, 17851762, 20613874, 25359765, 25104441, 8197773, 18932252, 22615872, 24324792, 20204499, 18162535]","[20682973, 24971511]",1,2,0.5
25,"The ryanodine receptor is a type of ion channel found in the muscle cells of vertebrates such as humans, birds, and reptiles. It consists of three subunits: calmodulin-binding domain (CAD), calmodulin-binding domain-like domain (CADL), and the core protein (CP). The CADL domain forms a homodimer and interacts with calmodulin, which is a small protein that binds to the CADL domain. Calmodulin is a calcium-binding protein that regulates the activity of ion channels, and the interaction between calmodulin and the CADL domain is essential for the formation of the ryanodine receptor quaternary macromolecular complex. The CADL domain interacts with the CP through its N-terminal domain, which contains a calcium-binding motif. The interaction between calmodulin and the CP results in the formation of a homodimeric complex that is capable of binding calcium ions, triggering the opening of the ryanodine receptor channel.","Junctin is a major transmembrane protein in cardiac junctional sarcoplasmic reticulum, which forms a quaternary complex with the ryanodine receptor (Ca(2+) release channel), triadin, and calsequestrin.   ",20,No answer generated,"[24521037, 25480325, 14638677, 21291389, 15336972, 18221109, 11807557, 21659649, 10779321, 17052226, 29494137, 23152493, 14592807, 19345240, 15731387, 19278523, 12919952, 22733215, 18538346, 18005397]","[22427521, 12909320, 18620751, 11069905, 15205169, 18206802, 16289269, 14638677, 22298808, 9287354, 15731387, 22025663]",2,12,0.16666666666666666
26,"HILIC stands for High-Performance Liquid Chromatography. It is a type of chromatography that separates compounds based on their size and molecular weight. HILIC uses a stationary phase (a solid support material) to adsorb the compounds of interest, and a mobile phase (a liquid carrying solvent) to transport the compounds across the stationary phase. The mobile phase is typically a mixture of organic solvents and water. The adsorbed compounds on the stationary phase then migrate through the solvent, creating a separation between the compounds based on their molecular weight. HILIC is often used in pharmaceutical, food, and chemical analysis.",Hydrophilic Interaction Chromatography (HILIC),20,No answer generated,"[21316059, 22946920, 23073287, 23217321, 21238772, 29032042, 22728655, 20382391, 18392595, 25322782, 18926777, 32035892, 29040459, 28882196, 25462372, 16406745, 29397980, 20391594, 29792814, 18484914]","[23073287, 22946920, 23217321, 21238772, 21316059, 21737084]",5,6,0.8333333333333334
27,"TRH stimulates myocardial contraction through the activation of protein kinase C (PKC) and protein kinase A (PKA). PKC is a calcium-dependent protein kinase that regulates the activity of several proteins involved in contractile protein synthesis and regulation. PKA is a kinase that activates myosin light-chain kinase (MLCK), which in turn phosphorylates actin and myosin heavy chain proteins. This increases the force of myosin-driven contraction, which in turn enhances myocardial contractility.",TRH improves myocardial contractility,20,No answer generated,"[16155104, 20926779, 23369981, 19962382, 9088928, 17099778, 20232113, 23085512, 1611701, 24550830, 11812163, 23532677, 18556468, 22463608, 15524173, 18508637, 15096458, 12610310, 1979356, 21447388]","[9088928, 9225129, 15096458, 2848686, 1611701, 1979356]",4,6,0.6666666666666666
28,"Yes, the complete genome of the bacteria of the genus Arthrobacter is available through the NCBI GenBank database. The genome sequence of Arthrobacter sp. Nov. 2017, NC_048455.1, is available in the GenBank database under the accession number NM_014770.1.","Yes, the complete genome sequence of Arthrobacter (two strains) is deposited in GenBank.",20,No answer generated,"[28138355, 25977818, 22080555, 17251118, 27712583, 12594925, 10376009, 17597916, 18940862, 15215406, 18237442, 27809782, 9711305, 23093601, 28904741, 32518251, 20185404, 21677849, 27574198, 22058131]","[28904741, 28450506, 28315371, 23039946, 28642378, 28138355, 21677849]",3,7,0.42857142857142855
29,"The structural fold of bromodomain proteins is a highly conserved region consisting of a conserved motif called the N-terminal domain, a conserved motif called the C-terminal domain, and a conserved linker region between them. The N-terminal domain and C-terminal domain are known to be involved in binding to DNA and modulating DNA binding activities, respectively. The linker region between them is essential for maintaining the proper folding and stability of the bromodomain protein.","The structure fold of the bromodomains is an all-alpha-helical fold, which includes a left-handed four-helix bundle topology, with two short additional helices in a long connecting loop.",20,No answer generated,"[17582821, 17848202, 17498659, 22495300, 12372304, 19141283, 11090279, 16412250, 22033927, 23103206, 17603073, 17652321, 9367782, 10365964, 25968230, 23417793, 29401453, 19614588, 15663936, 20924402]","[17498659, 17582821, 17274598, 11090279, 17848202, 17694091, 10365964, 10827952, 17148447]",5,9,0.5555555555555556
